Source IP,Destination IP,Protocol,Source Port,Destination Port
10.24.73.119,239.255.255.250,UDP,35248,1900
10.24.74.235,224.0.0.251,UDP,5353,5353
10.24.74.235,224.0.0.251,UDP,5353,5353
10.24.74.235,224.0.0.251,UDP,5353,5353
10.24.83.1,239.255.255.250,UDP,36590,1900
10.24.82.50,224.0.0.251,UDP,5353,5353
10.24.76.30,224.0.0.22,OTHER,-,-
10.24.77.159,224.0.0.251,UDP,5353,5353
10.24.76.122,224.0.0.251,UDP,5353,5353
10.24.77.224,224.0.0.251,UDP,5353,5353
10.24.75.237,224.0.0.251,UDP,5353,5353
10.24.77.238,224.0.0.251,UDP,5353,5353
10.24.75.154,224.0.0.251,UDP,5353,5353
10.24.85.34,224.0.0.251,UDP,5353,5353
10.24.77.150,224.0.0.251,UDP,5353,5353
10.24.76.174,224.0.0.251,UDP,5353,5353
10.24.77.234,224.0.0.251,UDP,5353,5353
10.24.64.127,224.0.0.251,UDP,5353,5353
10.24.77.90,224.0.0.251,UDP,5353,5353
10.24.76.31,224.0.0.251,UDP,5353,5353
10.24.73.229,224.0.0.22,OTHER,-,-
10.24.75.71,224.0.0.251,UDP,5353,5353
10.24.74.195,224.0.0.251,UDP,5353,5353
10.24.71.188,224.0.0.251,UDP,5353,5353
10.24.77.216,224.0.0.251,UDP,5353,5353
10.24.74.9,224.0.0.251,UDP,5353,5353
10.24.75.155,224.0.0.251,UDP,5353,5353
10.24.77.138,224.0.0.251,UDP,5353,5353
10.24.82.238,239.255.255.250,UDP,54596,1900
10.24.76.250,224.0.0.251,UDP,5353,5353
10.24.74.81,224.0.0.251,UDP,5353,5353
10.24.74.81,239.255.255.250,UDP,61611,1900
10.24.76.34,224.0.0.251,UDP,5353,5353
10.24.82.238,239.255.255.250,UDP,62322,1900
10.24.74.81,224.0.0.251,UDP,5353,5353
10.24.74.81,224.0.0.251,UDP,5353,5353
10.24.74.81,239.255.255.250,UDP,61611,1900
10.24.76.34,224.0.0.251,UDP,5353,5353
0.0.0.0,255.255.255.255,UDP,68,67
10.24.76.226,239.255.255.250,UDP,34809,1900
10.24.76.226,224.0.0.251,UDP,5353,5353
10.24.76.34,224.0.0.251,UDP,5353,5353
10.24.69.148,239.255.255.250,UDP,33852,1900
10.24.73.6,224.0.0.22,OTHER,-,-
10.24.73.29,224.0.0.251,UDP,5353,5353
10.24.74.235,224.0.0.251,UDP,5353,5353
10.24.74.81,224.0.0.251,UDP,5353,5353
10.24.88.63,224.0.0.251,UDP,5353,5353
10.24.77.252,224.0.0.22,OTHER,-,-
10.24.77.252,224.0.0.22,OTHER,-,-
10.24.77.252,224.0.0.252,UDP,62578,5355
10.24.74.81,10.24.95.255,UDP,57621,57621
10.24.81.81,224.0.0.251,UDP,5353,5353
10.24.73.229,224.0.0.252,UDP,49376,5355
10.24.77.17,224.0.0.251,UDP,5353,5353
10.24.73.222,239.255.255.250,UDP,62881,1900
10.24.77.44,239.255.255.250,UDP,58160,1900
10.24.77.252,224.0.0.252,UDP,62578,5355
10.24.83.202,239.255.255.250,UDP,37880,1900
10.24.73.229,224.0.0.22,OTHER,-,-
10.24.77.102,224.0.0.251,UDP,5353,5353
10.24.73.222,224.0.0.251,UDP,5353,5353
10.24.76.34,224.0.0.251,UDP,5353,5353
10.24.75.92,224.0.0.251,UDP,5353,5353
10.24.85.34,224.0.0.251,UDP,5353,5353
10.24.68.144,224.0.0.251,UDP,5353,5353
10.24.77.238,224.0.0.251,UDP,5353,5353
10.24.76.35,224.0.0.22,OTHER,-,-
10.24.74.81,224.0.0.251,UDP,5353,5353
10.24.85.34,239.255.255.250,UDP,59879,1900
10.24.77.252,10.24.95.255,UDP,137,137
10.24.75.121,10.24.95.255,UDP,137,137
10.24.72.211,224.0.0.22,OTHER,-,-
10.24.72.211,224.0.0.251,UDP,5353,5353
10.24.82.166,224.0.0.251,UDP,5353,5353
10.24.76.34,224.0.0.251,UDP,5353,5353
10.24.77.37,10.24.95.255,UDP,138,138
10.24.88.63,239.255.255.250,UDP,54760,1900
10.24.84.255,224.0.0.251,UDP,5353,5353
10.24.77.252,224.0.0.22,OTHER,-,-
10.24.74.81,224.0.0.251,UDP,5353,5353
10.24.64.79,224.0.0.22,OTHER,-,-
10.24.76.31,224.0.0.251,UDP,5353,5353
10.24.76.192,224.0.0.251,UDP,5353,5353
10.24.74.133,224.0.0.251,UDP,5353,5353
10.24.75.121,224.0.0.251,UDP,5353,5353
10.24.73.222,224.0.0.251,UDP,5353,5353
10.24.77.90,224.0.0.251,UDP,5353,5353
10.24.76.146,224.0.0.251,UDP,5353,5353
